Symbol,Nome,Pais,Sigla_Pais,Setor
COFS,"ChoiceOne Financial Services, Inc.",United States,US,Financial Services
COGT,"Cogent Biosciences, Inc.",United States,US,Healthcare
COHU,"Cohu, Inc.",United States,US,Technology
COIG,Leverage Shares 2X Long COIN Daily ETF,,,
COIN,"Coinbase Global, Inc.",United States,US,Financial Services
COKE,"Coca-Cola Consolidated, Inc.",United States,US,Consumer Defensive
COLA,Columbus Acquisition Corp,Singapore,SG,Financial Services
COLAR,Columbus Acquisition Corp,Singapore,SG,
COLAU,Columbus Acquisition Corp,Singapore,SG,Financial Services
COLB,"Columbia Banking System, Inc.",United States,US,Financial Services
COLL,"Collegium Pharmaceutical, Inc.",United States,US,Healthcare
COLM,Columbia Sportswear Company,United States,US,Consumer Cyclical
COMT,iShares GSCI Commodity Dynamic Roll Strategy ETF,,,
CONI,GraniteShares 2x Short COIN Daily ETF,,,
CONL,GraniteShares 2x Long COIN Daily ETF,,,
CONX,Direxion Daily COIN Bull 2X ETF,,,
COO,"The Cooper Companies, Inc.",United States,US,Healthcare
COOT,Australian Oilseeds Holdings Limited,Australia,AU,Consumer Defensive
COOTW,Australian Oilseeds Holdings Limited,Australia,AU,
COPJ,Sprott Junior Copper Miners ETF,,,
COPP,Sprott Copper Miners ETF,,,
CORO,iShares International Country Rotation Active ETF,,,
CORT,Corcept Therapeutics Incorporated,United States,US,Healthcare
CORZ,"Core Scientific, Inc.",United States,US,Technology
CORZW,"Core Scientific, Inc.",United States,US,
CORZZ,"Core Scientific, Inc.",United States,US,
COSM,Cosmos Health Inc.,Greece,GR,Healthcare
COST,Costco Wholesale Corporation,United States,US,Consumer Defensive
COTG,Leverage Shares 2X Long Cost Daily ETF,,,
COWG,Pacer US Large Cap Cash Cows Growth Leaders ETF,,,
COWS,Amplify Cash Flow Dividend Leaders ETF,,,
COYA,"Coya Therapeutics, Inc.",United States,US,Healthcare
COYY,GraniteShares YieldBOOST COIN ETF,,,
CPAG,F/m Compoundr U.S. Aggregate Bond ETF,,,
CPB,The Campbell's Company,United States,US,Consumer Defensive
CPBI,"Central Plains Bancshares, Inc.",United States,US,Financial Services
CPHC,Canterbury Park Holding Corporation,United States,US,Consumer Cyclical
CPHY,F/m Compoundr High Yield Bond ETF,,,
CPIX,Cumberland Pharmaceuticals Inc.,United States,US,Healthcare
CPLS,AB Core Plus Bond ETF,,,
CPOP,"Pop Culture Group Co., Ltd",China,CN,Communication Services
CPRT,"Copart, Inc.",United States,US,Industrials
CPRX,"Catalyst Pharmaceuticals, Inc.",United States,US,Healthcare
CPSH,CPS Technologies Corporation,United States,US,Technology
CPSS,"Consumer Portfolio Services, Inc.",United States,US,Financial Services
CPZ,Calamos Long/Short Equity & Dynamic Income Term Trust,United States,US,Financial Services
CRAC,Crown Reserve Acquisition Corp. I,Cayman Islands,CA,Financial Services
CRACR,Crown Reserve Acquisition Corp. I,Cayman Islands,CA,
CRACU,Crown Reserve Acquisition Corp. I,Cayman Islands,CA,Financial Services
CRACW,Crown Reserve Acquisition Corp. I,Cayman Islands,CA,
CRAI,"CRA International, Inc.",United States,US,Industrials
CRAN,Crane Harbor Acquisition Corp. II,United States,US,Financial Services
CRANR,Crane Harbor Acquisition Corp. II,United States,US,
CRANU,Crane Harbor Acquisition Corp. II,United States,US,Financial Services
CRAQ,Cal Redwood Acquisition Corp.,United States,US,Financial Services
CRAQR,Cal Redwood Acquisition Corp.,United States,US,
CRAQU,Cal Redwood Acquisition Corp.,United States,US,Financial Services
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",United States,US,Healthcare
CRBU,"Caribou Biosciences, Inc.",United States,US,Healthcare
CRCG,Leverage Shares 2X Long CRCL Daily ETF,,,
CRCT,"Cricut, Inc.",United States,US,Technology
CRDF,"Cardiff Oncology, Inc.",United States,US,Healthcare
CRDL,Cardiol Therapeutics Inc.,Canada,CA,Healthcare
CRDO,Credo Technology Group Holding Ltd,Cayman Islands,CA,Technology
CRE,Cre8 Enterprise Limited,Hong Kong,HK,Industrials
CREG,Smart Powerr Corp.,China,CN,Utilities
CRESY,"Cresud Sociedad Anónima, Comercial, Inmobiliaria, Financiera y Agropecuaria",Argentina,AR,Industrials
CREX,"Creative Realities, Inc.",United States,US,Technology
CRGO,Freightos Limited,Spain,ES,Industrials
CRGOW,Freightos Limited,Spain,ES,
CRIS,"Curis, Inc.",United States,US,Healthcare
CRMD,CorMedix Inc.,United States,US,Healthcare
CRMG,Leverage Shares 2X Long CRM Daily ETF,,,
CRML,Critical Metals Corp.,United States,US,Basic Materials
CRMLW,Critical Metals Corp.,United States,US,
CRMT,"America's Car-Mart, Inc.",United States,US,Consumer Cyclical
CRMU,Leverage Shares 2X Long CRML Daily ETF,,,
CRNC,Cerence Inc.,United States,US,Technology
CRNT,Ceragon Networks Ltd.,Israel,IS,Technology
CRNX,"Crinetics Pharmaceuticals, Inc.",United States,US,Healthcare
CRON,Cronos Group Inc.,Canada,CA,Healthcare
CROX,"Crocs, Inc.",United States,US,Consumer Cyclical
CRSP,CRISPR Therapeutics AG,Switzerland,CH,Healthcare
CRSR,"Corsair Gaming, Inc.",United States,US,Technology
CRTO,Criteo S.A.,France,FR,Communication Services
CRUS,"Cirrus Logic, Inc.",United States,US,Technology
CRVL,CorVel Corporation,United States,US,Financial Services
CRVO,CervoMed Inc.,United States,US,Healthcare
CRVS,"Corvus Pharmaceuticals, Inc.",United States,US,Healthcare
CRWD,"CrowdStrike Holdings, Inc.",United States,US,Technology
CRWG,Leverage Shares 2X Long CRWV Daily ETF,,,
CRWL,GraniteShares 2x Long CRWD Daily ETF,,,
CRWS,"Crown Crafts, Inc.",United States,US,Consumer Cyclical
CRWV,"CoreWeave, Inc.",United States,US,Technology
CRY,GraniteShares YieldBOOST CRCL ETF,,,
CSAI,Cloudastructure Inc.,United States,US,Technology
CSB,VictoryShares US Small Cap High Div Volatility Wtd ETF,,,
CSBR,"Champions Oncology, Inc.",United States,US,Healthcare
CSCL,Direxion Daily CSCO Bull 2X Shares,,,
CSCO,"Cisco Systems, Inc.",United States,US,Technology
CSCS,Direxion Daily CSCO Bear 1X Shares,,,
CSGP,"CoStar Group, Inc.",United States,US,Real Estate
CSHR,CoinShares PLC,Jersey,JE,Financial Services
CSHRW,CoinShares PLC,Jersey,JE,
CSIQ,Canadian Solar Inc.,Canada,CA,Technology
CSPI,CSP Inc.,United States,US,Technology
CSQ,Calamos Strategic Total Return Fund,United States,US,Financial Services
CSTE,Caesarstone Ltd.,Israel,IS,Industrials
CSTL,"Castle Biosciences, Inc.",United States,US,Healthcare
CSWC,Capital Southwest Corporation,United States,US,Financial Services
CSX,CSX Corporation,United States,US,Industrials
CTAA,ClearThink 1 Acquisition Corp.,United States,US,Financial Services
CTAAR,ClearThink 1 Acquisition Corp.,United States,US,
CTAAU,ClearThink 1 Acquisition Corp.,United States,US,Financial Services
CTAS,Cintas Corporation,United States,US,Industrials
CTBI,"Community Trust Bancorp, Inc.",United States,US,Financial Services
CTEC,Global X ClimateTech ETF,,,
CTKB,"Cytek Biosciences, Inc.",United States,US,Healthcare
CTMX,"CytomX Therapeutics, Inc.",United States,US,Healthcare
CTNM,"Contineum Therapeutics, Inc.",United States,US,Healthcare
CTNT,Cheetah Net Supply Chain Service Inc.,United States,US,Industrials
CTOR,"Citius Oncology, Inc.",United States,US,Healthcare
CTRM,Castor Maritime Inc.,Cyprus,CY,Industrials
CTRN,"Citi Trends, Inc.",United States,US,Consumer Cyclical
CTSH,Cognizant Technology Solutions Corporation,United States,US,Technology
CTSO,Cytosorbents Corporation,United States,US,Healthcare
CTW,CTW,Japan,JP,Communication Services
CTXR,"Citius Pharmaceuticals, Inc.",United States,US,Healthcare
CUB,Lionheart Holdings,United States,US,Financial Services
CUBWU,Lionheart Holdings,United States,US,Financial Services
CUBWW,Lionheart Holdings,United States,US,
CUE,"Cue Biopharma, Inc.",United States,US,Healthcare
CULP,"Culp, Inc.",United States,US,Consumer Cyclical
CUPR,Cuprina Holdings (Cayman) Limited,Singapore,SG,Healthcare
CURI,CuriosityStream Inc.,United States,US,Communication Services
CURR,CURRENC Group Inc.,Singapore,SG,Technology
CURX,Curanex Pharmaceuticals Inc,United States,US,Healthcare
CUSD,CrossingBridge Ultra-Short Duration ETF,,,
CV,"CapsoVision, Inc.",United States,US,Healthcare
CVBF,CVB Financial Corp.,United States,US,Financial Services
CVCO,"Cavco Industries, Inc.",United States,US,Consumer Cyclical
CVGI,"Commercial Vehicle Group, Inc.",United States,US,Consumer Cyclical
CVKD,"Cadrenal Therapeutics, Inc.",United States,US,Healthcare
CVLT,"Commvault Systems, Inc.",United States,US,Technology
CVNX,Defiance Daily Target 2X Long CVNA ETF,,,
CVRX,"CVRx, Inc.",United States,US,Healthcare
CVV,CVD Equipment Corporation,United States,US,Industrials
CWBC,Community West Bancshares,United States,US,Financial Services
CWCO,Consolidated Water Co. Ltd.,Cayman Islands,CA,Utilities
CWD,CaliberCos Inc.,United States,US,Financial Services
CWST,"Casella Waste Systems, Inc.",United States,US,Industrials
CWY,GraniteShares YieldBOOST CRWV ETF,,,
CXAI,CXApp Inc.,United States,US,Technology
CXAIW,CXApp Inc.,,,
CXDO,"Crexendo, Inc.",United States,US,Communication Services
CXIIU,Churchill Capital Corp XII,United States,US,Financial Services
CXSE,WisdomTree China ex-State-Owned Enterprises Fund,,,
CYAB,"Cyabra, Inc.",United States,US,Technology
CYCN,"Cyclerion Therapeutics, Inc.",United States,US,Healthcare
CYCU,"Cycurion, Inc.",United States,US,Technology
CYCUW,"Cycurion, Inc.",United States,US,
CYN,Cyngn Inc.,United States,US,Technology
CYPH,Cypherpunk Technologies Inc.,United States,US,Financial Services
CYRX,"Cryoport, Inc.",United States,US,Industrials
CYTK,"Cytokinetics, Incorporated",United States,US,Healthcare
CZAR,Themes Natural Monopoly ETF,,,
CZFS,"Citizens Financial Services, Inc.",United States,US,Financial Services
CZNC,Citizens & Northern Corporation,United States,US,Financial Services
CZR,"Caesars Entertainment, Inc.",United States,US,Consumer Cyclical
CZWI,"Citizens Community Bancorp, Inc.",United States,US,Financial Services
DAAQ,Digital Asset Acquisition Corp.,United States,US,Financial Services
DAAQU,Digital Asset Acquisition Corp.,United States,US,Financial Services
DAAQW,Digital Asset Acquisition Corp.,United States,US,
DADS,Digital Asset Debt Strategy ETF,,,
DAIC,"CID HoldCo, Inc.",United States,US,Technology
DAICW,"CID HoldCo, Inc.",United States,US,
DAIO,Data I/O Corporation,United States,US,Technology
DAK,Dakota Active Equity ETF,,,
DAKT,"Daktronics, Inc.",United States,US,Technology
DALI,First Trust Dorsey Wright DALI 1 ETF,,,
DAPP,VanEck Digital Transformation ETF,,,
DARE,"Daré Bioscience, Inc.",United States,US,Healthcare
DASH,"DoorDash, Inc.",United States,US,Consumer Cyclical
DAVE,Dave Inc.,United States,US,Technology
DAVEW,Dave Inc.,United States,US,
DAX,Global X DAX Germany ETF,,,
DBCA,D. Boral Acquisition I Corp.,United States,US,Financial Services
DBCAU,D. Boral Acquisition I Corp.,United States,US,Financial Services
DBCAW,D. Boral Acquisition I Corp.,United States,US,
DBGI,"Digital Brands Group, Inc.",United States,US,Consumer Cyclical
DBVT,DBV Technologies S.A.,France,FR,Healthcare
DBX,"Dropbox, Inc.",United States,US,Technology
DCBO,Docebo Inc.,Canada,CA,Technology
DCGO,DocGo Inc.,United States,US,Healthcare
DCOY,Decoy Therapeutics Inc.,United States,US,Healthcare
DCTH,"Delcath Systems, Inc.",United States,US,Healthcare
DCX,Digital Currency X Technology Inc.,Hong Kong,HK,Consumer Cyclical
DDI,"DoubleDown Interactive Co., Ltd.",South Korea,KR,Communication Services
DDIV,First Trust Dorsey Wright Momentum & Dividend ETF,,,
DDOG,"Datadog, Inc.",United States,US,Technology
DECO,State Street Galaxy Digital Asset Ecosystem ETF,,,
DEFT,DeFi Technologies Inc.,Canada,CA,Financial Services
DEMZ,Democratic Large Cap Core ETF,,,
DERM,Journey Medical Corporation,United States,US,Healthcare
DETX,"Liberty Defense Holdings, Ltd.",United States,US,Industrials
DEVS,DevvStream Corp.,Canada,CA,Industrials
DFDV,DeFi Development Corp.,United States,US,Financial Services
DFDVW,DeFi Development Corp.,United States,US,
DFGP,Dimensional Global Core Plus Fixed Income ETF,,,
DFGX,Dimensional International Core Fixed Income ETF,,,
DFLI,Dragonfly Energy Holdings Corp.,United States,US,Industrials
DFLIW,Dragonfly Energy Holdings Corp.,United States,US,
DFNS,T3 Defense Inc.,United States,US,Industrials
DFNSW,T3 Defense Inc.,United States,US,
DFSC,DEFSEC Technologies Inc.,Canada,CA,Industrials
DFSCW,DEFSEC Technologies Inc.,Canada,CA,
DFTX,"Definium Therapeutics, Inc.",United States,US,Healthcare
DGCB,Dimensional Global Credit ETF,,,
DGICA,Donegal Group Inc.,United States,US,Financial Services
DGICB,Donegal Group Inc.,United States,US,Financial Services
DGII,Digi International Inc.,United States,US,Technology
DGLO,First Trust RBA Deglobalization ETF,,,
DGNX,Diginex Limited,United Kingdom,UK,Industrials
DGRE,WisdomTree Emerging Markets Quality Dividend Growth Fund,,,
DGRS,WisdomTree U.S. SmallCap Quality Dividend Growth Fund,,,
DGRW,WisdomTree U.S. Quality Dividend Growth Fund,,,
DGXX,Digi Power X Inc.,United States,US,Utilities
DH,Definitive Healthcare Corp.,United States,US,Healthcare
DHC,Diversified Healthcare Trust,United States,US,Real Estate
DHCNI,Diversified Healthcare Trust  -,,,
DHCNL,Diversified Healthcare Trust,United States,US,
DIBS,"1stdibs.Com, Inc.",United States,US,Communication Services
DIME,CoinShares Altcoins ETF,,,
DINE,Simplify Tax Aware Diversified Income Strategy ETF,,,
DIOD,Diodes Incorporated,United States,US,Technology
DIVD,Altrius Global Dividend ETF,,,
DJCO,Daily Journal Corporation,United States,US,Technology
DJT,Trump Media & Technology Group Corp.,United States,US,Communication Services
DJTWW,Trump Media & Technology Group Corp.,United States,US,
DKI,Darkiris Inc.,Hong Kong,HK,Communication Services
DKNG,DraftKings Inc.,United States,US,Consumer Cyclical
DKNX,Defiance Daily Target 2X Long DKNG ETF,,,
DLHC,DLH Holdings Corp.,United States,US,Industrials
DLLL,GraniteShares 2x Long DELL Daily ETF,,,
DLO,DLocal Limited,Uruguay,UR,Technology
DLPN,"Dolphin Entertainment, Inc.",United States,US,Communication Services
DLTH,Duluth Holdings Inc.,United States,US,Consumer Cyclical
DLTR,"Dollar Tree, Inc.",United States,US,Consumer Defensive
DLXY,Delixy Holdings Limited,Singapore,SG,Energy
DMAA,Drugs Made In America Acquisition Corp.,United States,US,Financial Services
DMAAR,Drugs Made In America Acquisition Corp.,United States,US,
DMAAU,Drugs Made In America Acquisition Corp.,United States,US,Financial Services
DMAC,DiaMedica Therapeutics Inc.,United States,US,Healthcare
DMII,Drugs Made In America Acquisition II Corp.,United States,US,Financial Services
DMIIR,Drugs Made In America Acquisition II Corp.,United States,US,
DMIIU,Drugs Made In America Acquisition II Corp.,United States,US,Financial Services
DMLP,"Dorchester Minerals, L.P.",United States,US,Energy
DMRA,"Damora Therapeutics, Inc.",United States,US,Healthcare
DMRC,Digimarc Corporation,United States,US,Technology
DMXF,iShares ESG Advanced MSCI EAFE Index ETF,,,
DNLI,Denali Therapeutics Inc.,United States,US,Healthcare
DNMX,Dynamix Corporation III,United States,US,Financial Services
DNMXU,Dynamix Corporation III,United States,US,Financial Services
DNMXW,Dynamix Corporation III,United States,US,
DNNG,Leverage Shares 2X Long DNN Daily ETF,,,
DNTH,"Dianthus Therapeutics, Inc.",United States,US,Healthcare
DNUT,"Krispy Kreme, Inc.",United States,US,Consumer Defensive
DOCU,"DocuSign, Inc.",United States,US,Technology
DOGZ,Dogness (International) Corporation,China,CN,Consumer Cyclical
DOMH,Dominari Holdings Inc.,United States,US,Financial Services
DOMO,"Domo, Inc.",United States,US,Technology
DOO,BRP Inc.,Canada,CA,Consumer Cyclical
DORM,"Dorman Products, Inc.",United States,US,Consumer Cyclical
DOX,Amdocs Limited,United States,US,Technology
DOYU,DouYu International Holdings Limited,China,CN,Communication Services
DPRO,Draganfly Inc.,Canada,CA,Technology
DPZ,"Domino's Pizza, Inc.",United States,US,Consumer Cyclical
DRCT,"Direct Digital Holdings, Inc.",United States,US,Communication Services
DRDB,Roman DBDR Acquisition Corp. II,United States,US,Financial Services
DRDBU,Roman DBDR Acquisition Corp. II,United States,US,Financial Services
DRDBW,Roman DBDR Acquisition Corp. II,United States,US,
DRH,DiamondRock Hospitality Company,United States,US,Real Estate
DRIO,DarioHealth Corp.,United States,US,Healthcare
DRIV,Global X Autonomous & Electric Vehicles ETF,,,
DRMA,"Dermata Therapeutics, Inc.",United States,US,Healthcare
DRMAW,"Dermata Therapeutics, Inc.",United States,US,
DRNZ,REX Drone ETF,,,
DRS,"Leonardo DRS, Inc.",United States,US,Industrials
DRTS,Alpha Tau Medical Ltd.,Israel,IS,Healthcare
DRTSW,Alpha Tau Medical Ltd.,Israel,IS,
DRUG,Bright Minds Biosciences Inc.,United States,US,Healthcare
DRVN,Driven Brands Holdings Inc.,United States,US,Consumer Cyclical
DSAC,Daedalus Special Acquisition Corp.,United Kingdom,UK,Financial Services
DSACU,Daedalus Special Acquisition Corp.,United Kingdom,UK,Financial Services
DSACW,Daedalus Special Acquisition Corp.,United Kingdom,UK,
DSGN,"Design Therapeutics, Inc.",United States,US,Healthcare
DSGR,"Distribution Solutions Group, Inc.",United States,US,Industrials
DSGX,The Descartes Systems Group Inc.,Canada,CA,Technology
DSP,Viant Technology Inc.,United States,US,Technology
DSWL,"Deswell Industries, Inc.",Macau,MA,Technology
DSY,Big Tree Cloud Holdings Limited,China,CN,Consumer Defensive
DSYWW,Big Tree Cloud Holdings Limited,China,CN,
DTCR,Global X Data Center & Digital Infrastructure ETF,,,
DTCX,"Datacentrex, Inc.",United States,US,Financial Services
DTI,Drilling Tools International Corporation,United States,US,Energy
DTIL,"Precision BioSciences, Inc.",United States,US,Healthcare
DTSQ,DT Cloud Star Acquisition Corporation,United States,US,Financial Services
DTSQR,DT Cloud Star Acquisition Corporation,United States,US,
DTSQU,DT Cloud Star Acquisition Corporation,United States,US,Financial Services
DTSS,Datasea Intelligent Technology Ltd.,China,CN,Technology
DTST,Data Storage Corporation,United States,US,Technology
DUKH,Ocean Park High Income ETF,,,
DUKR,DUKE Robotics Corp.,Israel,IS,Industrials
DUKRW,DUKE Robotics Corp.,Israel,IS,
DUKX,Ocean Park International ETF,,,
DUO,Fangdd Network Group Ltd.,China,CN,Real Estate
DUOG,Leverage Shares 2X Long DUOL Daily ETF,,,
DUOL,"Duolingo, Inc.",United States,US,Technology
DUOT,"Duos Technologies Group, Inc.",United States,US,Technology
DUSG,U.S. Small Cap Growth Portfolio: ETF Class Shares,,,
DVAL,BrandywineGLOBAL Dynamic U.S. Large Cap Value ETF,,,
DVGR,Dac 3D Dividend Growth ETF,,,
DVIN,WEBs Industrials XLI Defined Volatility ETF  ,,,
DVLT,Datavault AI Inc.,United States,US,Technology
DVLU,First Trust Dorsey Wright Momentum & Value ETF,,,
DVOL,First Trust Dorsey Wright Momentum & Low Volatility ETF,,,
DVQQ,WEBs QQQ Defined Volatility ETF,,,
DVRE, WEBs Real Estate XLRE Defined Volatility ETF  ,,,
DVSP,WEBs SPY Defined Volatility ETF  ,,,
DVUT,WEBs Utilities XLU Defined Volatility ETF  ,,,
DVXB,WEBs Materials XLB Defined Volatility ETF  ,,,
DVXC, WEBs Communication Services XLC Defined Volatility ETF  ,,,
DVXE,WEBs Energy XLE Defined Volatility ETF  ,,,
DVXF,WEBs Financial XLF Defined Volatility ETF  ,,,
DVXK,WEBs Technology XLK Defined Volatility ETF,,,
DVXP,WEBs Consumer Staples XLP Defined Volatility ETF  ,,,
DVXV,WEBs Health Care XLV Defined Volatility ETF  ,,,
DVXY,WEBs Consumer Discretionary XLY Defined Volatility ETF  ,,,
DVY,iShares Select Dividend ETF,,,
DWAS,Invesco DWA SmallCap Momentum ETF,,,
DWAW,AdvisorShares Dorsey Wright FSM All Cap World ETF,,,
DWSH,AdvisorShares Dorsey Wright Short ETF,,,
DWSN,Dawson Geophysical Company,United States,US,Energy
DWTX,"Dogwood Therapeutics, Inc.",United States,US,Healthcare
DWUS,AdvisorShares Dorsey Wright FSM US Core ETF,,,
DXCM,"DexCom, Inc.",United States,US,Healthcare
DXLG,"Destination XL Group, Inc.",United States,US,Consumer Cyclical
DXPE,"DXP Enterprises, Inc.",United States,US,Industrials
DXR,Daxor Corporation,United States,US,Healthcare
DXST,Decent Holding Inc.,China,CN,Industrials
DYAI,"Dyadic International, Inc.",United States,US,Healthcare
DYFI,IDX Dynamic Fixed Income ETF,,,
DYN,"Dyne Therapeutics, Inc.",United States,US,Healthcare
DYNB,Hartford Dynamic Bond ETF,,,
DYNC,Dynamix Corporation,United States,US,Financial Services
DYNCU,Dynamix Corporation,United States,US,Financial Services
DYNCW,Dynamix Corporation,United States,US,
DYOR,Insight Digital Partners II,United States,US,Financial Services
DYORU,Insight Digital Partners II,United States,US,Financial Services
DYORW,Insight Digital Partners II,United States,US,
DYTA,SGI Dynamic Tactical ETF,,,
EA,Electronic Arts Inc.,United States,US,Communication Services
EART,Global X Rare Earth & Critical Materials ETF,,,
EASY,Liberty One Defensive Dividend Growth ETF,,,
EBAY,eBay Inc.,United States,US,Consumer Cyclical
EBC,"Eastern Bankshares, Inc.",United States,US,Financial Services
EBI,Longview Advantage ETF,,,
EBIZ,Global X E-commerce ETF,,,
EBMT,"Eagle Bancorp Montana, Inc.",United States,US,Financial Services
EBON,Ebang International Holdings Inc.,United States,US,Technology
ECBK,"ECB Bancorp, Inc.",United States,US,Financial Services
ECOR,"electroCore, Inc.",United States,US,Healthcare
ECOW,Pacer Emerging Markets Cash Cows 100 ETF,,,
ECPG,"Encore Capital Group, Inc.",United States,US,Financial Services
ECX,ECARX Holdings Inc.,United Kingdom,UK,Consumer Cyclical
ECXWW,ECARX Holdings Inc.,United Kingdom,UK,
EDBL,Edible Garden AG Incorporated,United States,US,Consumer Defensive
EDBLW,Edible Garden AG Incorporated,United States,US,
EDHL,Everbright Digital Holding Limited,Hong Kong,HK,Communication Services
EDIT,"Editas Medicine, Inc.",United States,US,Healthcare
EDRY,EuroDry Ltd.,Greece,GR,Industrials
EDSA,"Edesa Biotech, Inc.",Canada,CA,Healthcare
EDTK,Skillful Craftsman Education Technology Limited,China,CN,Consumer Defensive
EDUC,Educational Development Corporation,United States,US,Communication Services
EEE,Cyber Hornet S&P 500And Ethereum 75/25 Strategy ETF,,,
EEFT,"Euronet Worldwide, Inc.",United States,US,Technology
EEIQ,EpicQuest Education Group International Limited,United States,US,Consumer Defensive
EEMA,iShares MSCI Emerging Markets Asia ETF,,,
EFAS,Global X MSCI SuperDividend EAFE ETF,,,
EFOI,"Energy Focus, Inc.",United States,US,Consumer Cyclical
EFRA,iShares Environmental Infrastructure and Industrials ETF,,,
EFSC,Enterprise Financial Services Corp,United States,US,Financial Services
EFSCP,Enterprise Financial Services Corp,United States,US,Financial Services
EFSI,"Eagle Financial Services, Inc.",United States,US,Financial Services
EFTY,"Etoiles Capital Group Co., Ltd",Hong Kong,HK,Industrials
EGAN,eGain Corporation,United States,US,Technology
EGHA,EGH Acquisition Corp.,United States,US,Financial Services
EGHAR,EGH Acquisition Corp.,United States,US,
EGHAU,EGH Acquisition Corp.,United States,US,Financial Services
EGHT,"8x8, Inc.",United States,US,Technology
EH,EHang Holdings Limited,China,CN,Industrials
EHGO,Eshallgo Inc.,China,CN,Industrials
EHLD,Euroholdings Ltd.,Greece,GR,Industrials
EHLS,Even Herd Long Short ETF,,,
EHTH,"eHealth, Inc.",United States,US,Financial Services
EIKN,"Eikon Therapeutics, Inc.",United States,US,Healthcare
EJH,E-Home Household Service Holdings Limited,China,CN,Consumer Cyclical
EKG,First Trust Nasdaq Lux Digital Health Solutions ETF,,,
ELAB,PMGC Holdings Inc.,United States,US,Healthcare
ELBM,Electra Battery Materials Corporation,Canada,CA,Basic Materials
ELDN,"Eledon Pharmaceuticals, Inc.",United States,US,Healthcare
ELE,Elemental Royalty Corporation,Canada,CA,Basic Materials
ELFY,ALPS Electrification Infrastructure ETF,,,
ELIL,Direxion Daily LLY Bull 2X Shares,,,
ELMT,The Elmet Group Co.,United States,US,Industrials
ELOG,Eastern International Ltd.,China,CN,Industrials
ELPW,Elong Power Holding Limited,China,CN,Industrials
ELSE,"Electro-Sensors, Inc.",United States,US,Technology
ELTK,Eltek Ltd.,Israel,IS,Technology
ELTX,"Elicio Therapeutics, Inc.",United States,US,Healthcare
ELUT,Elutia Inc.,United States,US,Healthcare
ELVA,Electrovaya Inc.,Canada,CA,Industrials
ELVN,"Enliven Therapeutics, Inc.",United States,US,Healthcare
ELVR,Elevra Lithium Limited,Australia,AU,Basic Materials
ELWT,"Elauwit Connection, Inc.",United States,US,Communication Services
EMAT,Evolution Metals & Technologies Corp.,United States,US,Basic Materials
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,,,
EMBC,Embecta Corp.,United States,US,Healthcare
EMCB,WisdomTree Emerging Markets Corporate Bond Fund,,,
EMEM,Sophus Capital Emerging Market ETF,,,
EMEQ,Nomura Focused Emerging Markets Equity ETF,,,
EMIF,iShares Emerging Markets Infrastructure ETF,,,
EMIS,Emmis Acquisition Corp.,United States,US,Financial Services
EMISR,Emmis Acquisition Corp.,United States,US,
EML,The Eastern Company,United States,US,Industrials
EMPD,Empery Digital Inc.,United States,US,Consumer Cyclical
EMPG,Empro Group Inc.,Malaysia,MA,Healthcare
EMSC,Sophus Capital Emerging Market Small Cap ETF,,,
EMXC,iShares MSCI Emerging Markets ex China ETF,,,
EMXF,iShares ESG Advanced MSCI EM ETF,,,
ENDW,Cambria Endowment Style ETF,,,
ENGN,enGene Therapeutics Inc.,Canada,CA,Healthcare
ENGNW,enGene Therapeutics Inc.,Canada,CA,
ENGS,Energys Group Limited,United Kingdom,UK,Industrials
ENHI,Ishares Enhanced International Active ETF,,,
ENHU,iShares Enhanced Large Cap Core Active ETF,,,
ENLT,Enlight Renewable Energy Ltd,Israel,IS,Utilities
ENLV,Enlivex Ltd.,Israel,IS,Healthcare
ENPH,"Enphase Energy, Inc.",United States,US,Technology
ENSC,"Ensysce Biosciences, Inc.",United States,US,Healthcare
ENSG,"The Ensign Group, Inc.",United States,US,Healthcare
ENTA,"Enanta Pharmaceuticals, Inc.",United States,US,Healthcare
ENTG,"Entegris, Inc.",United States,US,Technology
ENTX,Entera Bio Ltd.,Israel,IS,Healthcare
ENVB,"Enveric Biosciences, Inc.",United States,US,Healthcare
ENVX,Enovix Corporation,United States,US,Industrials
ENZL,iShares MSCI New Zealand ETF,,,
EOLS,"Evolus, Inc.",United States,US,Healthcare
EOSE,"Eos Energy Enterprises, Inc.",United States,US,Industrials
EPOW,E-Power Inc.,China,CN,Industrials
EPRX,Eupraxia Pharmaceuticals Inc.,Canada,CA,Healthcare
EPSM,Epsium Enterprise Limited,China,CN,Consumer Defensive
EPSN,Epsilon Energy Ltd.,United States,US,Energy
EQ,"Equillium, Inc.",United States,US,Healthcare
EQIX,"Equinix, Inc.",United States,US,Real Estate
EQPT,EquipmentShare.com Inc.,United States,US,Industrials
EQRR,ProShares Equities for Rising Rates ETF,,,
ERAS,"Erasca, Inc.",United States,US,Healthcare
ERET,Ishares Environmentally Aware Real Estate ETF,,,
ERIC,Telefonaktiebolaget LM Ericsson (publ),Sweden,SW,Technology
ERIE,Erie Indemnity Company,United States,US,Financial Services
ERII,"Energy Recovery, Inc.",United States,US,Industrials
ERNA,Ernexa Therapeutics Inc.,United States,US,Healthcare
ERNAW,Ernexa Therapeutics Inc.,United States,US,
